person_id	surface	reading	kind	note	added
hololive-kazamairoha	いろは	いろは	given_name	Wikidata かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-moricalliope	森	もり	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-moricalliope	カリオペ	かりおぺ	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-takanashikiara	小鳥遊	たかなし	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-takanashikiara	キアラ	きあら	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-kosekibijou	古石	こせき	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-kosekibijou	ビジュー	びじゅー	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-juufuuteiraden	儒烏風亭	じゅうふうてい	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-juufuuteiraden	らでん	らでん	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-todorokihajime	轟	とどろき	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-todorokihajime	はじめ	はじめ	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-isakiriona	響咲	いさき	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-isakiriona	リオナ	りおな	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-kikiraravivi	綺々羅々	ききらら	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-kikiraravivi	ヴィヴィ	ゔぃゔぃ	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-izukimichiru	井月	いづき	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-izukimichiru	みちる	みちる	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-hanazonosayaka	花園	はなぞの	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-hanazonosayaka	さやか	さやか	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-kazeshiroyuki	風白	かぜしろ	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-kazeshiroyuki	ゆき	ゆき	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
holostars-kanadeizuru	奏手	かなで	family_name	Wikidata かな表記の語区切り＋かな境界で分割	2026-09-09
holostars-kanadeizuru	イヅル	いづる	given_name	Wikidata かな表記の語区切り＋かな境界で分割	2026-09-09
holostars-yukokuroberu	夕刻	ゆうこく	family_name	Wikidata かな表記の語区切り＋かな境界で分割	2026-09-09
holostars-yukokuroberu	ロベル	ろべる	given_name	Wikidata かな表記の語区切り＋かな境界で分割	2026-09-09
holostars-aragamioga	荒咬	あらがみ	family_name	Wikidata かな表記の語区切り＋かな境界で分割	2026-09-09
holostars-aragamioga	オウガ	おうが	given_name	Wikidata かな表記の語区切り＋かな境界で分割	2026-09-09
holostars-banzoinhakka	万象院	ばんぞういん	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
holostars-banzoinhakka	ハッカ	はっか	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
holostars-josuijishinri	定水寺	じょうすいじ	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
holostars-josuijishinri	シンリ	しんり	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-tokinosora	ときのそら	そら	short_name	本人チャンネル名の短縮名（Sora）からフルネームへ	2026-09-09
hololive-shirakamifubuki	白上フブキ	ふぶき	short_name	本人チャンネル名の短縮名（フブキ）からフルネームへ	2026-09-09
hololive-usadapekora	兎田ぺこら	ぺこら	short_name	本人チャンネル名の短縮名（Pekora）からフルネームへ	2026-09-09
hololive-houshoumarine	宝鐘マリン	まりん	short_name	本人チャンネル名の短縮名（Marine）からフルネームへ	2026-09-09
hololive-hoshimachisuisei	星街すいせい	すいせい	short_name	本人チャンネル名の短縮名（Suisei）からフルネームへ	2026-09-09
hololive-sakuramiko	さくらみこ	みこ	short_name	本人チャンネル名の短縮名（Miko）からフルネームへ	2026-09-09
hololive-yuzukichoco	癒月ちょこ	ちょこ	short_name	本人チャンネル名の短縮名（Choco）からフルネームへ	2026-09-09
hololive-natsuiromatsuri	夏色まつり	まつり	short_name	本人チャンネル名の短縮名（Matsuri）からフルネームへ	2026-09-09
hololive-oozorasubaru	大空スバル	すばる	short_name	本人チャンネル名の短縮名（Subaru）からフルネームへ	2026-09-09
hololive-ookamimio	大神ミオ	みお	short_name	本人チャンネル名の短縮名（Mio）からフルネームへ	2026-09-09
